sample_id,dataset,stratum,acc_low,acc_high,acc_max,rt_low,rt_high,rt_max
lcb_0146,livecodebench,hard,0.0,0.0,0.0,8327.2,33375.2,23107.2
lcb_0147,livecodebench,medium,0.0,0.0,0.0,457,1916.2,1981.2
lcb_0148,livecodebench,easy,0.0,0.0,0.0,424.8,653,787.4
lcb_0149,livecodebench,easy,0.0,0.0,0.0,597.4,844.8,1090.8
lcb_0154,livecodebench,hard,0.0,0.0,0.0,23164.2,65286.6,63876.2
lcb_0155,livecodebench,medium,0.0,0.0,0.0,469,1585.8,927.8
lcb_0157,livecodebench,easy,0.0,0.0,0.0,931.8,2579.8,1922.8
lcb_0159,livecodebench,medium,0.0,0.0,0.0,8931.6,46051,22503.8
lcb_0161,livecodebench,hard,0.0,0.0,0.0,12461.8,48470.8,36865.4
lcb_0162,livecodebench,medium,0.0,0.0,0.0,12620.8,34488.2,25298.2
lcb_0165,livecodebench,medium,0.0,0.0,0.0,1452.8,2524,1110.6
lcb_0175,livecodebench,medium,0.0,0.0,0.0,4804.8,30971,10886.6
lcb_0177,livecodebench,medium,0.0,0.0,0.0,10634.8,30446.4,26098.2
lcb_0179,livecodebench,medium,0.0,0.0,0.0,13051.6,49830.6,35563.4
lcb_0186,livecodebench,easy,0.0,0.0,0.0,1726.4,2178,1617
lcb_0188,livecodebench,easy,0.0,0.0,0.0,381.6,341,233.8
lcb_0194,livecodebench,hard,0.0,0.0,0.2,11712.2,65348,58707.8
lcb_0199,livecodebench,medium,1.0,1.0,1.0,2183.4,14609.6,7518.2
lcb_0210,livecodebench,medium,1.0,1.0,0.8,4237.6,30232.2,22282.4
lcb_0212,livecodebench,easy,1.0,1.0,1.0,1479.2,1684.6,2139.6
lcb_0218,livecodebench,easy,1.0,1.0,1.0,262,1324.6,644.8
lcb_0230,livecodebench,medium,1.0,1.0,1.0,2391.2,17243.2,20942
lcb_0232,livecodebench,hard,1.0,1.0,1.0,6023,42857.8,28126.4
lcb_0233,livecodebench,easy,1.0,1.0,1.0,620,4173.6,1234
lcb_0235,livecodebench,medium,1.0,1.0,1.0,3043.2,18728.4,11039
lcb_0236,livecodebench,medium,1.0,1.0,1.0,4539.4,18789.6,14694.2
